# S_M_FELONY,S_M_MISDEM,S_M_VIOLATION,S_F_FELONY,S_F_MISDEM,S_F_VIOLATION,V_M_FELONY,V_M_MISDEM,V_M_VIOLATION,V_F_FELONY,V_F_MISDEM,V_F_VIOLATION
172,147,91,536,346,349,430,320,223,278,173,217
144,132,68,535,362,314,398,309,192,281,185,190
175,169,81,655,420,372,516,369,238,314,220,215
187,182,80,625,390,357,485,360,216,327,212,221
215,177,82,704,405,447,533,368,270,386,214,259
206,140,88,684,424,416,523,342,261,367,222,243
3,1,1,5,4,3,7,5,2,1,0,2
0,2,2,5,2,4,2,2,6,3,2,0
2,1,0,3,1,5,4,2,4,1,0,1
2,5,3,6,4,10,6,6,11,2,3,2
6,1,2,20,5,5,24,5,6,2,1,1
10,6,6,28,6,19,25,8,17,13,4,8
