CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,JURISDICTION_CODE,LAW_CAT_CD,OFNS_DESC,PD_DESC,PREM_TYP_DESC,RPT_DT,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,X_COORD_CD,Y_COORD_CD,Latitude,Longitude
451609795,17,MANHATTAN,03/26/2021,15:45:00,03/26/2021,16:11:00,0,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED",STREET,03/26/2021,18-24,BLACK HISPANIC,M,25-44,WHITE HISPANIC,M,992245,215005,40.75682017,-73.97114326
198152312,5,MANHATTAN,03/28/2021,13:50:00,03/28/2021,14:38:00,0,FELONY,GRAND LARCENY,"LARCENY,GRAND FROM PERSON,PICK",SMALL MERCHANT,03/28/2021,25-44,BLACK,M,25-44,WHITE,F,984994,203338,40.72480073,-73.99731725
873416475,19,MANHATTAN,03/26/2021,22:00:00,03/26/2021,22:05:00,1,FELONY,ROBBERY,"ROBBERY,OPEN AREA UNCLASSIFIED",TRANSIT - NYC SUBWAY,03/26/2021,25-44,WHITE HISPANIC,M,45-64,WHITE HISPANIC,M,998908,225000,40.7842453,-73.94707118
926796921,14,MANHATTAN,03/23/2021,17:30:00,03/23/2021,18:20:00,0,MISDEMEANOR,OFFENSES AGAINST THE PERSON,"IMPRISONMENT 2,UNLAWFUL",HOTEL/MOTEL,03/23/2021,25-44,BLACK,F,25-44,BLACK,F,988546,214963,40.75670746,-73.98449494
142051225,6,MANHATTAN,03/29/2021,22:35:00,03/29/2021,22:43:00,0,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,RESIDENCE - APT. HOUSE,03/30/2021,45-64,ASIAN / PACIFIC ISLANDER,F,45-64,ASIAN / PACIFIC ISLANDER,M,986238,205515,40.73077588,-73.99282851
807736371,32,MANHATTAN,03/24/2021,10:20:00,03/24/2021,10:35:00,2,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 1,CIVILIAN",FOOD SUPERMARKET,03/24/2021,45-64,BLACK,F,25-44,WHITE HISPANIC,F,1001752,241629,40.82988214,-73.9367581
832032363,33,MANHATTAN,03/26/2021,18:00:00,03/26/2021,18:18:00,0,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,RESIDENCE - APT. HOUSE,03/26/2021,18-24,WHITE HISPANIC,M,18-24,WHITE HISPANIC,F,1000480,243059,40.83380951,-73.941351
684190037,28,MANHATTAN,03/22/2021,15:00:00,03/22/2021,16:00:00,0,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,RESIDENCE - APT. HOUSE,03/22/2021,18-24,ASIAN / PACIFIC ISLANDER,M,18-24,WHITE,M,997800,229887,40.79766057,-73.95106232
864135084,1,MANHATTAN,03/25/2021,13:30:00,03/25/2021,13:40:00,0,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",STREET,03/25/2021,18-24,BLACK,M,18-24,ASIAN / PACIFIC ISLANDER,F,979398,197669,40.70923938,-74.01750238
970807729,24,MANHATTAN,03/29/2021,20:30:00,03/29/2021,20:44:00,0,FELONY,ROBBERY,"ROBBERY,BICYCLE",STREET,03/29/2021,<18,BLACK,F,<18,BLACK,F,994640,231610,40.80239402,-73.96247277
