# law_cat,crime_day,crime_month,duration_hours,suspect_age,suspect_sex,victim_age,victim_sex
1,26,3,2,22,1,35,1
3,28,3,2,35,1,35,0
3,26,3,1,35,1,55,1
1,23,3,2,35,0,35,0
1,29,3,1,55,0,55,1
2,24,3,1,55,0,35,0
1,26,3,1,22,1,22,0
1,22,3,2,22,1,22,1
1,25,3,1,22,1,22,0
3,29,3,1,18,0,18,0
3,28,3,1,35,1,35,0
3,29,6,13,35,1,22,0
2,27,3,1,35,1,35,1
1,29,3,1,35,1,35,1
2,17,3,1,35,1,65,1
1,31,3,1,35,1,35,0
2,30,3,1,65,1,65,0
3,29,3,5,35,1,55,1
2,21,3,2,35,1,35,1
2,24,3,1,35,1,35,0
1,27,3,2,22,1,22,0
2,18,3,1,55,1,55,0
3,29,3,2,35,1,35,0
2,29,3,14,35,1,35,0
1,23,3,1,35,1,35,0
1,31,3,5,22,1,55,0
2,23,3,1,55,0,35,0
1,23,3,1,22,1,55,1
3,24,3,1,35,1,35,0
2,28,3,1,35,1,35,0
1,30,3,1,35,1,55,1
1,23,3,1,35,1,55,0
2,25,3,1,35,1,55,1
3,29,3,1,22,1,18,0
2,26,3,1,65,1,55,0
2,25,3,1,55,1,55,0
2,25,3,1,22,1,55,1
3,31,3,1,35,1,22,1
2,25,3,1,55,1,55,0
2,30,3,1,22,1,35,0
3,31,3,1,35,1,22,0
1,23,3,1,35,1,55,0
1,14,12,2211,35,1,18,1
1,26,3,2,22,1,35,0
2,26,3,1,55,1,55,1
1,31,3,2,35,1,35,0
2,22,3,2,55,0,55,0
3,27,3,1,35,1,35,0
1,26,3,1,22,0,55,0
3,30,3,2,35,1,65,1
2,22,3,2,55,1,55,0
3,22,3,1,55,1,65,1
1,24,3,1,35,1,55,0
1,27,3,34,55,1,35,0
1,26,3,1,55,1,35,0
1,14,7,88,35,1,22,0
3,23,3,122,35,1,55,0
1,27,3,6,35,1,22,0
3,4,2,13,22,1,35,0
3,28,3,1,35,1,35,1
2,31,3,1,35,1,35,0
3,30,3,1,35,1,35,0
2,26,3,1,35,1,35,0
1,27,3,1,22,0,22,0
3,27,3,2,35,0,65,1
3,29,3,1,35,1,55,1
1,30,3,1,22,1,22,0
1,29,3,1,35,1,18,0
3,28,3,1,35,0,55,0
1,25,3,3,65,1,65,0
1,23,3,1,35,1,35,0
1,4,2,1073,35,0,35,0
3,21,12,4,22,1,18,0
1,22,3,1,55,0,55,1
1,29,3,1,35,1,22,0
1,22,3,1,35,1,35,1
1,9,3,1,35,1,35,0
3,29,3,1,35,1,55,0
3,26,3,1,35,0,65,1
1,24,3,1,35,1,55,1
2,26,3,2,22,1,22,0
2,29,3,1,35,1,22,1
2,23,3,1,35,1,55,1
2,30,3,1,22,0,35,0
1,31,3,1,35,0,35,1
1,21,3,1,35,1,35,1
1,30,3,1,22,1,35,1
2,29,3,1,55,1,55,0
2,29,3,1,22,0,55,0
1,28,3,1,35,1,35,1
1,20,3,1,55,1,35,0
3,30,3,1,35,1,35,0
3,31,3,1,55,1,55,1
1,28,3,2,35,0,55,1
1,28,3,1,35,1,35,1
2,31,3,1,35,0,55,0
2,27,3,2,55,1,55,0
1,25,3,1,55,1,55,0
1,30,3,1,22,1,22,0
3,27,3,1,35,0,35,0
2,24,3,1,35,1,35,0
1,25,3,1,55,1,55,1
3,30,3,1,35,1,35,0
3,31,3,1,35,1,55,0
3,26,3,1,18,0,65,0
2,24,3,1,35,1,22,1
2,29,3,1,35,1,22,0
3,23,3,2,35,1,35,0
1,20,3,1,35,1,35,0
1,26,3,1,35,1,35,1
2,29,3,2,22,1,35,0
2,30,3,1,55,1,55,1
3,25,3,1,22,1,35,1
3,30,3,22,22,0,35,1
2,30,3,1,35,0,35,0
1,30,3,1,22,1,55,1
2,10,1,10681,35,0,35,0
3,25,3,1,35,1,65,1
3,22,3,1,35,1,22,0
2,1,12,2739,65,0,65,0
3,22,3,2,35,1,35,0
1,29,3,2,35,1,55,1
1,25,3,2,65,1,55,0
2,24,3,2,35,1,55,1
1,25,3,1,35,1,55,1
1,30,3,1,35,0,22,0
1,23,3,1,22,0,22,1
1,23,3,1,35,0,35,0
3,14,3,201,55,1,35,1
3,25,3,2,35,1,65,1
1,25,3,1,55,1,35,1
1,30,3,2,35,0,35,1
2,23,3,1,35,1,22,0
2,22,3,2,35,1,35,0
2,26,3,1,35,0,65,0
1,26,3,1,35,1,35,0
1,24,3,1,35,1,35,0
3,27,3,2,22,1,55,1
1,29,3,1,35,1,22,0
1,18,2,2,35,1,35,0
3,30,3,1,55,1,55,1
1,21,3,1,35,1,35,0
2,22,3,1,65,1,35,0
3,23,3,1,22,1,22,0
3,24,3,2,55,1,35,0
3,21,3,2,22,1,22,0
2,1,1,10727,35,1,35,0
1,19,3,1,35,1,35,0
