# precinct,law_category,crime_day,crime_month,suspect_age,suspect_sex,victim_age,victim_sex
17,MISDEMEANOR,26,3,18-24,M,25-44,M
5,FELONY,28,3,25-44,M,25-44,F
19,FELONY,26,3,25-44,M,45-64,M
14,MISDEMEANOR,23,3,25-44,F,25-44,F
6,MISDEMEANOR,29,3,45-64,F,45-64,M
32,VIOLATION,24,3,45-64,F,25-44,F
33,MISDEMEANOR,26,3,18-24,M,18-24,F
28,MISDEMEANOR,22,3,18-24,M,18-24,M
1,MISDEMEANOR,25,3,18-24,M,18-24,F
24,FELONY,29,3,<18,F,<18,F
14,FELONY,28,3,25-44,M,25-44,F
14,FELONY,29,6,25-44,M,18-24,F
6,VIOLATION,27,3,25-44,M,25-44,M
14,MISDEMEANOR,29,3,25-44,M,25-44,M
26,VIOLATION,17,3,25-44,M,65+,M
9,MISDEMEANOR,31,3,25-44,M,25-44,F
13,VIOLATION,30,3,65+,M,65+,F
23,FELONY,29,3,25-44,M,45-64,M
14,VIOLATION,21,3,25-44,M,25-44,M
9,VIOLATION,24,3,25-44,M,25-44,F
14,MISDEMEANOR,27,3,18-24,M,18-24,F
23,VIOLATION,18,3,45-64,M,45-64,F
33,FELONY,29,3,25-44,M,25-44,F
32,VIOLATION,29,3,25-44,M,25-44,F
20,MISDEMEANOR,23,3,25-44,M,25-44,F
9,MISDEMEANOR,31,3,18-24,M,45-64,F
23,VIOLATION,23,3,45-64,F,25-44,F
9,MISDEMEANOR,23,3,18-24,M,45-64,M
9,FELONY,24,3,25-44,M,25-44,F
32,VIOLATION,28,3,25-44,M,25-44,F
18,MISDEMEANOR,30,3,25-44,M,45-64,M
14,MISDEMEANOR,23,3,25-44,M,45-64,F
28,VIOLATION,25,3,25-44,M,45-64,M
32,FELONY,29,3,18-24,M,<18,F
23,VIOLATION,26,3,65+,M,45-64,F
24,VIOLATION,25,3,45-64,M,45-64,F
23,VIOLATION,25,3,18-24,M,45-64,M
1,FELONY,31,3,25-44,M,18-24,M
28,VIOLATION,25,3,45-64,M,45-64,F
30,VIOLATION,30,3,18-24,M,25-44,F
1,FELONY,31,3,25-44,M,18-24,F
28,MISDEMEANOR,23,3,25-44,M,45-64,F
24,MISDEMEANOR,14,12,25-44,M,<18,M
28,MISDEMEANOR,26,3,18-24,M,25-44,F
18,VIOLATION,26,3,45-64,M,45-64,M
1,MISDEMEANOR,31,3,25-44,M,25-44,F
26,VIOLATION,22,3,45-64,F,45-64,F
33,FELONY,27,3,25-44,M,25-44,F
24,MISDEMEANOR,26,3,18-24,F,45-64,F
9,FELONY,30,3,25-44,M,65+,M
28,VIOLATION,22,3,45-64,M,45-64,F
32,FELONY,22,3,45-64,M,65+,M
28,MISDEMEANOR,24,3,25-44,M,45-64,F
19,MISDEMEANOR,27,3,45-64,M,25-44,F
13,MISDEMEANOR,26,3,45-64,M,25-44,F
32,MISDEMEANOR,14,7,25-44,M,18-24,F
14,FELONY,23,3,25-44,M,45-64,F
5,MISDEMEANOR,27,3,25-44,M,18-24,F
9,FELONY,4,2,18-24,M,25-44,F
1,FELONY,28,3,25-44,M,25-44,M
33,VIOLATION,31,3,25-44,M,25-44,F
7,FELONY,30,3,25-44,M,25-44,F
30,VIOLATION,26,3,25-44,M,25-44,F
20,MISDEMEANOR,27,3,18-24,F,18-24,F
26,FELONY,27,3,25-44,F,65+,M
32,FELONY,29,3,25-44,M,45-64,M
7,MISDEMEANOR,30,3,18-24,M,18-24,F
6,MISDEMEANOR,29,3,25-44,M,<18,F
24,FELONY,28,3,25-44,F,45-64,F
1,MISDEMEANOR,25,3,65+,M,65+,F
17,MISDEMEANOR,23,3,25-44,M,25-44,F
9,MISDEMEANOR,4,2,25-44,F,25-44,F
18,FELONY,21,12,18-24,M,<18,F
28,MISDEMEANOR,22,3,45-64,F,45-64,M
14,MISDEMEANOR,29,3,25-44,M,18-24,F
17,MISDEMEANOR,22,3,25-44,M,25-44,M
17,MISDEMEANOR,9,3,25-44,M,25-44,F
24,FELONY,29,3,25-44,M,45-64,F
33,FELONY,26,3,25-44,F,65+,M
32,MISDEMEANOR,24,3,25-44,M,45-64,M
32,VIOLATION,26,3,18-24,M,18-24,F
20,VIOLATION,29,3,25-44,M,18-24,M
18,VIOLATION,23,3,25-44,M,45-64,M
14,VIOLATION,30,3,18-24,F,25-44,F
9,MISDEMEANOR,31,3,25-44,F,25-44,M
18,MISDEMEANOR,21,3,25-44,M,25-44,M
25,MISDEMEANOR,30,3,18-24,M,25-44,M
25,VIOLATION,29,3,45-64,M,45-64,F
32,VIOLATION,29,3,18-24,F,45-64,F
18,MISDEMEANOR,28,3,25-44,M,25-44,M
34,MISDEMEANOR,20,3,45-64,M,25-44,F
28,FELONY,30,3,25-44,M,25-44,F
5,FELONY,31,3,45-64,M,45-64,M
32,MISDEMEANOR,28,3,25-44,F,45-64,M
9,MISDEMEANOR,28,3,25-44,M,25-44,M
24,VIOLATION,31,3,25-44,F,45-64,F
30,VIOLATION,27,3,45-64,M,45-64,F
24,MISDEMEANOR,25,3,45-64,M,45-64,F
33,MISDEMEANOR,30,3,18-24,M,18-24,F
14,FELONY,27,3,25-44,F,25-44,F
19,VIOLATION,24,3,25-44,M,25-44,F
14,MISDEMEANOR,25,3,45-64,M,45-64,M
14,FELONY,30,3,25-44,M,25-44,F
34,FELONY,31,3,25-44,M,45-64,F
13,FELONY,26,3,<18,F,65+,F
1,VIOLATION,24,3,25-44,M,18-24,M
18,VIOLATION,29,3,25-44,M,18-24,F
34,FELONY,23,3,25-44,M,25-44,F
32,MISDEMEANOR,20,3,25-44,M,25-44,F
24,MISDEMEANOR,26,3,25-44,M,25-44,M
14,VIOLATION,29,3,18-24,M,25-44,F
