# attribute, compared, correlation
precinct,precinct,100
precinct,crime_law,6
precinct,crime_day,2
precinct,crime_month,2
precinct,suspect_age,5
precinct,suspect_sex,8
precinct,victim_age,5
precinct,victim_sex,14
crime_law,precinct,6
crime_law,crime_law,100
crime_law,crime_day,1
crime_law,crime_month,2
crime_law,suspect_age,9
crime_law,suspect_sex,9
crime_law,victim_age,11
crime_law,victim_sex,8
crime_day,precinct,2
crime_day,crime_law,1
crime_day,crime_day,100
crime_day,crime_month,6
crime_day,suspect_age,0
crime_day,suspect_sex,0
crime_day,victim_age,2
crime_day,victim_sex,0
crime_month,precinct,2
crime_month,crime_law,2
crime_month,crime_day,6
crime_month,crime_month,100
crime_month,suspect_age,1
crime_month,suspect_sex,0
crime_month,victim_age,2
crime_month,victim_sex,4
suspect_age,precinct,5
suspect_age,crime_law,9
suspect_age,crime_day,0
suspect_age,crime_month,1
suspect_age,suspect_age,100
suspect_age,suspect_sex,6
suspect_age,victim_age,21
suspect_age,victim_sex,1
suspect_sex,precinct,8
suspect_sex,crime_law,9
suspect_sex,crime_day,0
suspect_sex,crime_month,0
suspect_sex,suspect_age,6
suspect_sex,suspect_sex,100
suspect_sex,victim_age,4
suspect_sex,victim_sex,0
victim_age,precinct,5
victim_age,crime_law,11
victim_age,crime_day,2
victim_age,crime_month,2
victim_age,suspect_age,21
victim_age,suspect_sex,4
victim_age,victim_age,100
victim_age,victim_sex,13
victim_sex,precinct,14
victim_sex,crime_law,8
victim_sex,crime_day,0
victim_sex,crime_month,4
victim_sex,suspect_age,1
victim_sex,suspect_sex,0
victim_sex,victim_age,13
victim_sex,victim_sex,100
